Categoría,Juego,Peso
Estrategia de Guerra y Militar,Card Game: The Card Game,0.9
Estrategia de Guerra y Militar,Photosynthesis,2.4
Estrategia de Guerra y Militar,Kingdomino,0.7
Estrategia de Guerra y Militar,5-Minute Marvel,0.7
Estrategia de Guerra y Militar,Baruka,0.7
Estrategia de Guerra y Militar,Forbidden Jungle,2.0999999999999996
Estrategia de Guerra y Militar,Forbidden Desert,2.8
Estrategia de Guerra y Militar,Bears vs Babies,1.6
Estrategia de Guerra y Militar,Flamme Rouge,0.7
Estrategia de Guerra y Militar,Turista Mundial,0.9
Estrategia de Guerra y Militar,My Little Scythe,3.0999999999999996
Estrategia de Guerra y Militar,Hanamikoji,1
Estrategia de Guerra y Militar,Ca$h 'n Guns: Second Edition,1.6
Estrategia de Guerra y Militar,Stoned: A Stone Snatching Game,0.9
Estrategia de Guerra y Militar,Kill The Unicorns,0.7
Estrategia de Guerra y Militar,Zombicide: Black Plague,2.0999999999999996
Estrategia de Guerra y Militar,Flash Point: Fire Rescue,2.0999999999999996
Estrategia de Guerra y Militar,Dead Men Tell No Tales,2.8
Estrategia de Guerra y Militar,How to Rob a Bank,1.5
Estrategia de Guerra y Militar,Kanban: Driver's Edition,0.7
Estrategia de Guerra y Militar,Stone Age,0.7
Estrategia de Guerra y Militar,La Rata Ricarda,0.7
Estrategia de Guerra y Militar,Silk,1
Estrategia de Guerra y Militar,"Hey, That's My Fish!",0.7
Estrategia de Guerra y Militar,Oceania,1
Estrategia de Guerra y Militar,Battlestar Galactica: Starship Battles – Starter Set,2.4000000000000004
Estrategia de Guerra y Militar,Dungeon Raiders,1.6
Estrategia de Guerra y Militar,Tiny Epic Galaxies BLAST OFF!,0.8
Estrategia de Guerra y Militar,Monsters Party: Voodoo Madness,0.9
Estrategia de Guerra y Militar,Merchants of Dunhuang,1.4
Estrategia de Guerra y Militar,Bitcoin Hackers,0.7
Estrategia de Guerra y Militar,Hero Realms,0.9
Estrategia de Guerra y Militar,Potato Pirates,1.7000000000000002
Estrategia de Guerra y Militar,Trending Kittens,1.7
Estrategia de Guerra y Militar,Dragon Farkle,0.7
Estrategia de Guerra y Militar,The Red Dragon Inn,1.6
Estrategia de Guerra y Militar,Legend of the Five Rings: The Card Game,2.3
Estrategia de Guerra y Militar,DogFight WW1,0.9
Estrategia de Guerra y Militar,Santorini,0.7
Estrategia de Guerra y Militar,Wingspan,1.5
Estrategia de Guerra y Militar,Planet,0.7
Estrategia de Guerra y Militar,Tokaido,0.7
Estrategia de Guerra y Militar,Struggle of Empires,1.9
Estrategia de Guerra y Militar,Holi: Festival of Colors,1
Estrategia de Guerra y Militar,Ishtar: Gardens of Babylon,1.7
Estrategia de Guerra y Militar,Terraforming Mars,2.0999999999999996
Estrategia de Guerra y Militar,Dune: Imperium,1.4
Estrategia de Guerra y Militar,Epic Roll: Eclipse,0.7
Estrategia de Guerra y Militar,Patchwork,1.4
Estrategia de Guerra y Militar,ICECOOL,0.9
Estrategia de Guerra y Militar,Century: Eastern Wonders,1.4
Estrategia de Guerra y Militar,Carcassonne,1
Estrategia de Guerra y Militar,CATAN,0.7
Estrategia de Guerra y Militar,Sea Dragons,1.7
Estrategia de Guerra y Militar,Cosmoctopus,1.6
Estrategia de Guerra y Militar,3 Ring Circus,1
Estrategia de Guerra y Militar,Pátzcuaro,0.7
Estrategia de Guerra y Militar,Weapon Wars,0.9
Estrategia de Guerra y Militar,One Deck Dungeon: Forest of Shadows,0.7
Estrategia de Guerra y Militar,Mazescape: Labýrinthos,0.7
Estrategia de Guerra y Militar,Impact: Battle of Elements,0.9
Estrategia de Guerra y Militar,The Oregon Trail Card Game,0.9
Estrategia de Guerra y Militar,Bump in the Night,0.7
Estrategia de Guerra y Militar,Risk: Godstorm,3.8
Estrategia de Guerra y Militar,Risk,2.8
Estrategia de Guerra y Militar,Nexus Ops,1.7
Estrategia de Guerra y Militar,Small World,2.5999999999999996
Estrategia de Guerra y Militar,7 Wonders,0.7
